curve;rate_date;rate
EUR IR ESTR;2027-02-01;0.019
EUR IR ESTR;2027-08-01;0.020
EUR IR ESTR;2028-02-01;0.021
EUR IR ESTR;2028-08-01;0.022
EUR IR ESTR;2029-02-01;0.023
EUR IR ESTR;2029-08-01;0.024
EUR IR ESTR;2030-02-01;0.025
EUR IR ESTR;2030-08-01;0.026
EUR IR ESTR;2031-02-01;0.027
EUR IR ESTR;2031-08-01;0.028
EUR IR ESTR;2032-02-01;0.029
EUR IR ESTR;2032-08-01;0.030
EUR IR ESTR;2033-02-01;0.031
EUR IR ESTR;2033-08-01;0.032
EUR IR ESTR;2034-02-01;0.033
EUR IR ESTR;2034-08-01;0.034
EUR IR ESTR;2035-02-01;0.035
EUR IR ESTR;2035-08-01;0.036
EUR IR ESTR;2036-02-01;0.037
EUR IR ESTR;2036-08-01;0.038
