curve;rate_date;rate
6M Euribor;2027-02-01;0.020
6M Euribor;2027-08-01;0.022
6M Euribor;2028-02-01;0.024
6M Euribor;2028-08-01;0.027
6M Euribor;2029-02-01;0.030
6M Euribor;2029-08-01;0.033
6M Euribor;2030-02-01;0.036
6M Euribor;2030-08-01;0.039
6M Euribor;2031-02-01;0.041
6M Euribor;2031-08-01;0.042
6M Euribor;2032-02-01;0.041
6M Euribor;2032-08-01;0.039
6M Euribor;2033-02-01;0.037
6M Euribor;2033-08-01;0.035
6M Euribor;2034-02-01;0.033
6M Euribor;2034-08-01;0.032
6M Euribor;2035-02-01;0.031
6M Euribor;2035-08-01;0.030
6M Euribor;2036-02-01;0.030
6M Euribor;2036-08-01;0.030
